物品,介绍,对话
儿童-海报,一张老旧的海报，上面是那个年代知名女星的剪影，给人一种充满亲和力的感觉。,
,她的歌在那个时代席卷全国，无数人为她的歌喉尖叫，她的样子几乎家喻户晓...,
儿童-衣架-Bag,满载回忆的背包...里面放着各种从周遭收集的小东西。,
,,让我想起了当时跟朋友在外玩耍的日子。
,,一直都破破烂烂的，居然支撑我走过了我小学那几年，里面能放的东西可不少
儿童-唱片机record0,小时候的唱片机，但是唱片不知所踪。,
,,不知什么时候买的，自我记事起，这个老旧的唱片机伴随了我整个童年
,,在那个时候供电也没有普及，依靠的是手摇，声音忽高忽低...某种程度上是一种独特的体验啊。
儿童-TV上层,那个年代的产物，信号很不稳定。,
,,当时合资买的电视机，总是有许多孩子跑来看电视。
,,想起来当时还会经常冒出“雪花”，信号差的什么也看不了......
儿童-日记,,当时的我会在日记里面写下什么呢......
儿童-打开的日记,"年月*日 星期* 阴
今天在土路上玩弹珠，**说想和我玩，交个朋友。我说好。我们轮流弹弹珠，有时候我的弹珠没打中他的，**就会笑。最后，我赢了，**也很开心。
年月*日 星期* 晴
今天，我和**在院子里玩弹珠。在地上画了个quan，看谁的弹珠先把对方弹珠打出quan。我用的是爸爸给我的旧弹珠，看着有点发黄。**的弹珠是新的，很亮。
年月*日 星期* 晴
今天还是和**玩弹珠，有几个小hai也过来看，**说我打弹珠的jishu是他见过最好的。好开心。
年月*日 星期* 多云
**拿了个游戏机过来诶。好厉害啊，是没有见过的东西呢。还会发出声音，吓我一跳。
年月*日 星期* 雨
**说那个叫做鹅螺蛳方块，好好玩。
年月*日 星期* 雨
我们一起搭积木，**说要搭一个高楼，这样在上面就可以看到好多东西了。
年月*日 星期* 多云
**没有来……
年月*日 星期* 晴
**还是没有来……
年月*日 星期* 多云
**来了，看起来不太舒服的样子，是生病了吗。",
,,
儿童-玩具箱,里面装了什么呢，叮叮当当的，多半是玩具吧？,
,,封的这么严实干什么...
儿童-唱片机record1,唱片并没有像你想的那样发出美妙的音乐，但是你回忆里莫名出现了一段熟悉的旋律。,
,"“蔚蔚蓝天，白鸟高歌......”
我总是坐在地上，忘神地唱啊唱。在我们的时代里，家里拥有唱片机是一件非常值得骄傲的事情。
每次唱着唱着，都会在中途混入一段和声。
是谁呢？每日坐在我的身侧，跟我一起歌唱蓝天，歌唱白鸟，歌唱世界。
那个人......他说自己会变成自由的雪燕鸟。",
儿童-雪燕鸟羽毛,洁白，神圣，不沾有一点污秽......,
,,为什么这么绝美的翎羽会在我家里？好漂亮……
儿童-收音机上层,收音机里放的是小时候熟悉的声音，似乎夹杂着邀请伙伴来到家里的时候的欢笑声……,
,,伙伴？我有朋友吗？是谁来着……
,,小时候的我没有什么朋友，除去玩弹珠的时候是个“常胜将军”，也有人愿意和我一起玩，但是小时候孤僻的性格终究还是让自己逐渐远离人群。
儿童-收音机下层,放着一个密码箱……不知道密码在哪里，先四处找找吧。,
儿童-糖果,甜甜的，是小时候最喜欢的味道。,
,甜甜的味道刺激着味蕾。,
儿童-游戏机主体,,熟悉的样式，好怀念当时的快乐啊……当时和他一起玩着游戏机的快乐好像还在今天……
儿童-红白机手柄,旧时代的产物了，看着很有怀旧的味道。,
,,咦，怎么没有插上？
儿童-积木,感觉应该放在“塔顶”的，为什么会在这里呢……,
Box,随着你了解的越多，这条缝隙似乎越来越大了......,
青少年-door,透明的玻璃门，似乎将光怪陆离的网络世界与外界隔离了。,
青少年-前台,本应该有人在这的，怎么会没人呢。,
,空无一人的前台。,
,嘈杂的网吧意外的安静。,
,泰豪辣，是无人售票，我们有救啦。,
饮料框,一框框的苏打气泡水在里面站着，瓶子里不停地冒着气泡。,
,气泡像是在欢悦地欢迎着每个来到网吧的人,
饮料柜,通电的饮料柜，里面放着很多新奇的饮料。,
,,感觉其实没有看起来那么好喝。
学生储物柜,放学生东西的储物柜，好像她？的柜子，好像也在这里？,
学生储物柜(打开),,是我买的小熊，给她买的生日礼物……上面还留着她的香气。
海报,摇滚乐队“coin”最新的海报，炫酷的赛博风格给人一种独特的体验。,
,It's True Music！,
,摇滚乐队的成员在海报上比着炫酷的姿势--“要组一辈子的乐队吗”,
窗户,看不清楚外面的景色。,
,,上课就不应该看窗户
书桌1,略显杂乱的书桌，桌子上留下了学习生活的痕迹。,
,,好怀念我的书桌啊
耳机,留着熟悉的歌曲，好熟悉的声音……,
,,是她给我唱的……是为了什么呢……
书桌2,整洁的书桌，好像是她的座位。,
,,她......好吧......
蝴蝶结,曾经亲手帮她戴上的东西，现在还是记忆中的颜色。,
,,没有褪色的感觉呢......如果时光也能静止就好了
青年-电脑txt,"  致亲爱的你
    我想，从那一天起，第一次遇见你的那一天，结果就已注定
    正青春荡漾之时，却只是一片瀚海中的一颗翻不起波浪水珠
    我不曾一次在幻想，若是有一天我们会在一起走过这座城市每一条鲜为人知的小径
    但当幻想破灭时，也只能就留下这一封信
    来缅怀自己的爱意
    来替代懦弱的我
    向你坦白我的内心
    繁繁群星，银河中待你
    不必担心我，
    在湖侧山阴，我守望深爱的你
    再见，不，永别了，亲爱你的
                                无关紧要的人",
青年-垃圾桶里的信,"亲爱的***，

你好！

这封信可能对你来说有点意外，因为我平时并不是一个善于用言语表达情感的人。但有些话，我觉得还是写下来更能够表达我内心的真实感受。

我们相识已经有一段时间了，从最初的陌生到现在的熟悉，你的笑容、你的善良和你的聪明才智，都让我印象深刻。每当我们一起聊天，分享彼此的想法和梦想时，我都感到无比的快乐和满足。

我不知道你是否注意到，和你在一起的时候，时间总是过得特别快。你的存在让我的生活变得更加丰富多彩，也让我对未来充满了期待。我想，这种感觉可能就是所谓的喜欢吧。

我喜欢你，***。我喜欢你的真诚，喜欢你对生活的热情，喜欢你面对困难时的坚韧不拔。我想成为你生活中的一部分，和你一起分享快乐，一起面对挑战。

我知道感情的事情很复杂，我也不想给你压力。我只是想让你知道我的感受，如果你愿意，我希望我们能有更多的机会去了解彼此，去探索我们之间可能存在的更多可能性。

无论你的回答是什么，我都会尊重你的决定。我只是希望，至少你能感受到我的真诚和勇气。

期待你的回复。
",
中年-书架,书架上摆满了书，但是大多好像都已经落灰了,
堆满文稿的桌子,堆积的文稿需要自己来处理......,
,,以前没有这么多工作的吧？
床头柜,方便睡前放东西的地方。,
灶台,生活不仅是埋头工作，还要柴米油盐酱醋茶。,
,柜子里有碗筷可以用来吃饭。,
餐桌,有着非常温馨的氛围，很温暖的感觉。 ,
,总觉得桌子上好像缺了点什么......,
病例单,"患者信息：

? 姓名：**

? 性别：女

? 年龄：**岁

? 身份证号：*******

? 入院日期：**年**月**日

? 病案号：ICU-428

主诉：
持续性胸痛伴有呼吸困难3小时。

现病史：
患者3小时前无明显诱因出现持续性胸痛，疼痛位于胸骨后，放射至左肩，伴有呼吸困难，无发热、咳嗽、咳痰，无晕厥、意识丧失，自服硝酸甘油后症状无缓解，遂来我院急诊就诊。

既往史：

? 手术：冠状动脉搭桥术，**年

? 药物过敏：无

? 慢性病：高血压病史10年，规律服用降压药物

? 家族病史：父亲有冠心病史

体格检查：

? 生命体征：

? 体温：36.8°C

? 脉搏：110次/分钟

? 呼吸：24次/分钟

? 血压：90/60 mmHg

? 一般情况：神志清楚，急性痛苦面容，皮肤黏膜无黄染，无皮疹及出血点。

? 系统检查：心肺听诊无明显异常。

实验室检查：

? 血液检查：白细胞计数12.0×10^9/L，中性粒细胞比例85%，肌钙蛋白I阳性。

? 影像学检查：心电图显示ST段抬高，提示急性心肌梗死。

? 其他检查：超声心动图显示左室壁运动异常。

初步诊断：
急性ST段抬高型心肌梗死。

治疗方案：

? 药物治疗：阿司匹林300mg负荷剂量，氯吡格雷300mg负荷剂量，肝素5000单位静脉注射。

? 手术治疗：计划行冠状动脉造影及必要时的经皮冠状动脉介入治疗。

? 其他治疗：心电监护，氧气吸入。

护理措施：
持续心电监护，监测生命体征，保持静脉通路通畅，遵医嘱给予药物治疗。

病情评估：
患者目前病情危重，需密切监测生命体征，评估疼痛控制情况及心肌缺血改善情况。

随访计划：
出院后1周内门诊随访，复查心电图及心脏超声。

医生签名：
[主治医生签名]：
**
[日期：**年**月**日]

护士签名：
**
[日期：**年**月**日]",
,,为什么会这样......为什么老天爷要这么对我？！
发票（公文包内）,"发票号码：94356630-020

开票日期：**年**月**日

客户名称：**

客户地址：**市*区1号

服务提供商：**餐厅

服务提供商地址：****

服务提供商电话：****

服务详情：

? 项目名称：晚餐服务

? 服务日期：**年**月**日

? 服务内容：包括前菜、主菜、甜点及饮料等

数量：1

单价：800元

金额小计：800元

税率：6%

税额：48元

总计金额：848元

支付方式：信用卡

备注：

? 请在收到服务后及时支付。

? 本发票为付款凭证，请妥善保管。",
,出差拿来报销的发票,
,,那天，我们两人吃的都很开心......
床头柜,你最熟悉的东西，你每天要花上8个小时在它身上...,
,噢，也许是7小时？6小时？5小时？不要熬夜呀！,
,床吃掉了你生命1/3的时间（o.0）,
蜡烛,燃烧自己成全他人,
,感觉总会用到的......,
碗筷,餐桌上不可或缺的东西，总不能用手抓吧？,
,感觉会派上用场。,
键盘,被磨掉了好几个字母，是输入什么东西的时候磨的吗,
便签,好像在提示什么,
电脑椅子,柔软的电竞椅，据说可以防止腰间盘突出？,
结婚照,像是刚挂上去不久一样，相框上没有一丝尘埃,
老年-茶几,偌大的一张桌子只坐了一个人,
老年-衣橱,精致的衣服少了好多，现在似乎更加喜欢朴素一些的衣物...,
沙发,柔软的感觉，好像整个人都要陷进去了一样...,
,,好像就这样一直躺在这里啊，和沙发融为一体......
国画,传统的国画，给屋子增添了几分古典气息。,
,,以前一直不明白为什么有人喜欢在家里挂国画，现在我明白了。
布满尘埃的结婚照,已经很久都没有擦过了，上面已然被灰尘占领。,
,,自己依稀还与年轻的自己有几分相像......斯人已去。
电脑的txt,"亲爱的，

当你读到这封信的时候，我可能已经不在你身边了。请原谅我没有勇气当面和你告别，因为我知道，即使是想到即将离开你，我的心就已经痛得无法承受。

我想告诉你，自从我们相遇的那一天起，我的每一天都充满了爱和感激。你给了我一个温暖的家，无尽的支持，还有那些我们一起创造的美好回忆。你是我生命中最宝贵的礼物，是我在这个世界上遇到的最美好的人。

我知道，面对我的离去，你可能会感到很无助、很悲伤。但请你记得，我对你的爱是永恒的，它将永远伴随着你，就像你一直陪伴着我一样。我希望这份爱能够给你力量，让你继续前行。

我想请求你几件事情：

请照顾好我们的孩子。他们是我们爱的延续，是我们共同的宝贝。我知道你会是一个好父亲，就像你一直是一个好丈夫一样。

请记得，我永远爱你。即使我不在了，我的灵魂会一直守护着你，就像你一直守护着我一样。

请偶尔为我微笑。我知道这听起来可能很傻，但我希望我留给你的不仅仅是悲伤，还有那些我们共同度过的快乐时光。

亲爱的，我多么希望能有更多的时间和你在一起，一起变老，一起看日出日落。但命运有时候就是这样残酷，它不给我们选择的机会。我只希望，我留给你的，是那些美好的回忆，而不是痛苦。

请记得，我爱你，过去、现在、直到永远。

再见了，我的爱人。

永远爱你的妻子",
